,tweet_id,user_handle,tweet_text,candidate,party,retweets,likes,sentiment,date,time,tweet_length
0,1,@user123,Excited to see Kamala Harris leading the Democratic charge!,Kamala Harris,Democratic Party,120,450,positive,2024-11-03,08:45:00,59
1,2,@politicsFan,Donald Trump's policies are the best for our economy.,Donald Trump,Republican Party,85,300,positive,2024-11-03,09:15:23,53
2,3,@greenAdvocate,Jill Stein's environmental plans are exactly what we need.,Jill Stein,Green Party,60,200,positive,2024-11-03,10:05:45,58
3,4,@indieVoice,Robert Kennedy offers a fresh perspective outside the two-party system.,Robert Kennedy,Independent,40,150,neutral,2024-11-03,11:20:10,71
4,5,@libertyLover,Chase Oliver's libertarian stance promotes true freedom.,Chase Oliver,Libertarian Party,30,120,positive,2024-11-03,12:35:55,56
5,6,@user456,Kamala Harris has been a strong advocate for healthcare reform.,Kamala Harris,Democratic Party,95,380,positive,2024-11-04,08:50:30,63
6,7,@econGuru,Trump's tax policies will benefit small businesses.,Donald Trump,Republican Party,110,500,positive,2024-11-04,09:25:10,51
7,8,@ecoWarrior,Jill Stein's green initiatives could save our planet.,Jill Stein,Green Party,70,250,positive,2024-11-04,10:15:20,53
8,9,@neutralNow,Robert Kennedy is running as an independent; interesting choice.,Robert Kennedy,Independent,25,100,neutral,2024-11-04,11:45:00,64
9,10,@freedomFirst,Chase Oliver promotes minimal government intervention. Love it!,Chase Oliver,Libertarian Party,50,180,positive,2024-11-04,12:55:35,63
10,11,@user789,Kamala Harris is tackling education issues head-on.,Kamala Harris,Democratic Party,80,320,positive,2024-11-05,08:30:15,51
11,12,@taxTalk,Trump's latest policy could lower taxes for the middle class.,Donald Trump,Republican Party,95,400,positive,2024-11-05,09:10:50,61
12,13,@sustainability,Jill Stein's renewable energy plans are ambitious.,Jill Stein,Green Party,65,220,positive,2024-11-05,10:25:40,50
13,14,@indepThought,Robert Kennedy might disrupt the traditional party dynamics.,Robert Kennedy,Independent,35,130,neutral,2024-11-05,11:35:25,60
14,15,@libertySeek,Chase Oliver's views on personal freedom are refreshing.,Chase Oliver,Libertarian Party,45,160,positive,2024-11-05,12:45:50,56
15,16,@user321,Kamala Harris is making strides in criminal justice reform.,Kamala Harris,Democratic Party,90,350,positive,2024-11-06,08:55:05,59
16,17,@businessInsider,Trump's deregulation efforts are boosting the stock market.,Donald Trump,Republican Party,100,450,positive,2024-11-06,09:20:30,59
17,18,@greenFuture,Jill Stein advocates for sustainable agriculture.,Jill Stein,Green Party,55,190,positive,2024-11-06,10:40:10,49
18,19,@watchingNow,Robert Kennedy's independent run adds more choices for voters.,Robert Kennedy,Independent,30,110,neutral,2024-11-06,11:50:45,62
19,20,@freeMarket,Chase Oliver supports free-market solutions for healthcare.,Chase Oliver,Libertarian Party,40,140,positive,2024-11-06,12:30:20,59
20,21,@user654,Kamala Harris is a strong leader for progressive change.,Kamala Harris,Democratic Party,85,330,positive,2024-11-07,08:40:00,56
21,22,@policyMaker,Trump's stance on immigration is reshaping national policy.,Donald Trump,Republican Party,105,470,negative,2024-11-07,09:30:25,59
22,23,@ecoSupport,Jill Stein's proposals for green jobs are commendable.,Jill Stein,Green Party,60,210,positive,2024-11-07,10:10:35,54
23,24,@neutralThoughts,Robert Kennedy's platform as an independent is unclear.,Robert Kennedy,Independent,20,90,neutral,2024-11-07,11:25:15,55
24,25,@freedomVoice,Chase Oliver emphasizes individual liberties in his campaign.,Chase Oliver,Libertarian Party,35,130,positive,2024-11-07,12:15:40,61
25,26,@user987,Kamala Harris continues to push for affordable housing.,Kamala Harris,Democratic Party,75,290,positive,2024-11-08,08:35:20,55
26,27,@marketWatch,Trump's economic policies are controversial but effective.,Donald Trump,Republican Party,115,480,neutral,2024-11-08,09:05:55,58
27,28,@greenInitiative,Jill Stein is focusing on climate change legislation.,Jill Stein,Green Party,70,230,positive,2024-11-08,10:20:50,53
28,29,@indieSupport,Robert Kennedy offers an alternative to traditional parties.,Robert Kennedy,Independent,28,105,neutral,2024-11-08,11:40:30,60
29,30,@libertyRights,Chase Oliver advocates for gun rights and personal freedom.,Chase Oliver,Libertarian Party,50,170,positive,2024-11-08,12:50:10,59
30,31,@user159,Kamala Harris is addressing income inequality in her speeches.,Kamala Harris,Democratic Party,80,310,positive,2024-11-09,08:25:45,62
31,32,@taxPolicy,Trump's tax cuts are benefiting the wealthy disproportionately.,Donald Trump,Republican Party,90,420,negative,2024-11-09,09:40:20,63
32,33,@sustainableLiving,Jill Stein promotes electric vehicles to reduce emissions.,Jill Stein,Green Party,65,205,positive,2024-11-09,10:30:35,58
33,34,@independantView,Robert Kennedy's policies are a mix of left and right ideologies.,Robert Kennedy,Independent,22,95,neutral,2024-11-09,11:55:00,65
34,35,@freedomAdvocate,Chase Oliver's economic plans prioritize individual choice.,Chase Oliver,Libertarian Party,45,150,positive,2024-11-09,12:40:25,59
35,36,@user753,Kamala Harris is a beacon of hope for many voters.,Kamala Harris,Democratic Party,95,360,positive,2024-11-10,08:50:10,50
36,37,@econDebate,Trump's approach to trade is leading to new international agreements.,Donald Trump,Republican Party,100,440,neutral,2024-11-10,09:15:40,69
37,38,@greenEnergy,Jill Stein's solar energy plans could revolutionize power grids.,Jill Stein,Green Party,75,240,positive,2024-11-10,10:05:25,64
38,39,@neutralOpinion,"Robert Kennedy remains neutral on some key issues, causing uncertainty.",Robert Kennedy,Independent,18,85,neutral,2024-11-10,11:35:50,71
39,40,@libertyMovement,Chase Oliver is building a strong base among libertarian voters.,Chase Oliver,Libertarian Party,40,160,positive,2024-11-10,12:20:15,64
40,41,@user852,Kamala Harris's foreign policy plans are ambitious and detailed.,Kamala Harris,Democratic Party,85,325,positive,2024-11-11,08:45:30,64
41,42,@policyWatch,Trump's healthcare policies are sparking nationwide debates.,Donald Trump,Republican Party,110,460,negative,2024-11-11,09:30:05,60
42,43,@ecoFriendly,Jill Stein is advocating for zero-waste cities.,Jill Stein,Green Party,60,215,positive,2024-11-11,10:15:40,47
43,44,@indepThoughts,Robert Kennedy is focusing on bipartisan solutions.,Robert Kennedy,Independent,25,100,neutral,2024-11-11,11:25:30,51
44,45,@freedomFighter,Chase Oliver supports abolishing the IRS for more freedom.,Chase Oliver,Libertarian Party,35,140,positive,2024-11-11,12:35:55,58
45,46,@user963,Kamala Harris's initiatives on climate change are groundbreaking.,Kamala Harris,Democratic Party,90,340,positive,2024-11-12,08:20:50,65
46,47,@taxReform,Trump's latest tax reform favors large corporations.,Donald Trump,Republican Party,95,410,negative,2024-11-12,09:10:25,52
47,48,@sustainableFuture,Jill Stein's policies aim to make cities more sustainable.,Jill Stein,Green Party,70,225,positive,2024-11-12,10:45:10,58
48,49,@indieChoice,Robert Kennedy's independent stance attracts diverse voters.,Robert Kennedy,Independent,30,115,neutral,2024-11-12,11:50:35,60
49,50,@libertyValues,Chase Oliver's commitment to liberty resonates with many.,Chase Oliver,Libertarian Party,50,175,positive,2024-11-12,12:30:20,57
50,51,@ecoChampion,Jill Stein's new recycling program is a game-changer!,Jill Stein,Green Party,65,220,positive,2024-11-13,08:30:00,53
51,52,@policyPro,Kamala Harris is implementing effective education policies.,Kamala Harris,Democratic Party,80,310,positive,2024-11-13,09:15:40,59
52,53,@marketMover,Trump's trade deals are benefiting American industries.,Donald Trump,Republican Party,90,400,positive,2024-11-13,10:05:25,55
53,54,@indieInsight,Robert Kennedy is bridging gaps between different voter groups.,Robert Kennedy,Independent,28,105,neutral,2024-11-13,11:45:10,63
54,55,@libertyVoice,Chase Oliver's stance on free speech is admirable.,Chase Oliver,Libertarian Party,50,170,positive,2024-11-13,12:50:35,50
55,56,@user111,Kamala Harris's healthcare initiatives are saving lives.,Kamala Harris,Democratic Party,85,330,positive,2024-11-14,08:25:15,56
56,57,@taxWise,Trump's tax reforms are attracting business investments.,Donald Trump,Republican Party,95,420,positive,2024-11-14,09:40:50,56
57,58,@greenVision,Jill Stein envisions a greener future with sustainable practices.,Jill Stein,Green Party,70,230,positive,2024-11-14,10:30:20,65
58,59,@neutralPulse,Robert Kennedy maintains a balanced approach to policies.,Robert Kennedy,Independent,22,95,neutral,2024-11-14,11:55:00,57
59,60,@freedomAdvocacy,Chase Oliver champions individual rights and freedoms.,Chase Oliver,Libertarian Party,45,150,positive,2024-11-14,12:40:25,54
60,61,@user222,Kamala Harris is a beacon of hope for many voters.,Kamala Harris,Democratic Party,95,360,positive,2024-11-15,08:50:10,50
61,62,@econTalk,Trump's economic strategies are leading to growth.,Donald Trump,Republican Party,100,440,positive,2024-11-15,09:15:40,50
62,63,@greenFutureNow,Jill Stein's solar projects are reducing carbon footprints.,Jill Stein,Green Party,75,240,positive,2024-11-15,10:05:25,59
63,64,@indiePerspective,Robert Kennedy offers practical solutions outside party lines.,Robert Kennedy,Independent,18,85,neutral,2024-11-15,11:35:50,62
64,65,@libertyMovement,Chase Oliver is building a strong base among libertarian voters.,Chase Oliver,Libertarian Party,40,160,positive,2024-11-15,12:20:15,64
65,66,@user333,Kamala Harris's foreign policy plans are ambitious and detailed.,Kamala Harris,Democratic Party,85,325,positive,2024-11-16,08:45:30,64
66,67,@policyDebate,Trump's healthcare policies are sparking nationwide debates.,Donald Trump,Republican Party,110,460,negative,2024-11-16,09:30:05,60
67,68,@ecoFriendlyLiving,Jill Stein is advocating for zero-waste cities.,Jill Stein,Green Party,60,215,positive,2024-11-16,10:15:40,47
68,69,@indepThoughts,Robert Kennedy is focusing on bipartisan solutions.,Robert Kennedy,Independent,25,100,neutral,2024-11-16,11:25:30,51
69,70,@freedomFighter,Chase Oliver supports abolishing the IRS for more freedom.,Chase Oliver,Libertarian Party,35,140,positive,2024-11-16,12:35:55,58
70,71,@user444,Kamala Harris's initiatives on climate change are groundbreaking.,Kamala Harris,Democratic Party,90,340,positive,2024-11-17,08:20:50,65
71,72,@taxReformNow,Trump's latest tax reform favors large corporations.,Donald Trump,Republican Party,95,410,negative,2024-11-17,09:10:25,52
72,73,@sustainableCity,Jill Stein's policies aim to make cities more sustainable.,Jill Stein,Green Party,70,225,positive,2024-11-17,10:45:10,58
73,74,@indieChoice,Robert Kennedy's independent stance attracts diverse voters.,Robert Kennedy,Independent,30,115,neutral,2024-11-17,11:50:35,60
74,75,@libertyValues,Chase Oliver's commitment to liberty resonates with many.,Chase Oliver,Libertarian Party,50,175,positive,2024-11-17,12:30:20,57
75,76,@ecoSupporter,Jill Stein's latest environmental initiative is inspiring!,Jill Stein,Green Party,65,220,positive,2024-11-18,08:35:20,58
76,77,@policyWatcher,Kamala Harris is leading effective reforms in education.,Kamala Harris,Democratic Party,80,310,positive,2024-11-18,09:05:55,56
77,78,@marketLeader,Trump's trade policies are boosting American exports.,Donald Trump,Republican Party,90,400,positive,2024-11-18,10:20:50,53
78,79,@indieVision,Robert Kennedy brings new ideas to the political landscape.,Robert Kennedy,Independent,28,105,neutral,2024-11-18,11:40:30,59
79,80,@libertyAdvocate,Chase Oliver's policies on free markets are commendable.,Chase Oliver,Libertarian Party,50,170,positive,2024-11-18,12:50:10,56
80,81,@user555,Kamala Harris is addressing income inequality in her speeches.,Kamala Harris,Democratic Party,80,310,positive,2024-11-19,08:25:45,62
81,82,@taxPolicyUpdate,Trump's tax cuts are benefiting the wealthy disproportionately.,Donald Trump,Republican Party,90,420,negative,2024-11-19,09:40:20,63
82,83,@sustainableLivingNow,Jill Stein promotes electric vehicles to reduce emissions.,Jill Stein,Green Party,65,205,positive,2024-11-19,10:30:35,58
83,84,@independantView,Robert Kennedy's policies are a mix of left and right ideologies.,Robert Kennedy,Independent,22,95,neutral,2024-11-19,11:55:00,65
84,85,@freedomAdvocate,Chase Oliver's economic plans prioritize individual choice.,Chase Oliver,Libertarian Party,45,150,positive,2024-11-19,12:40:25,59
85,86,@user666,Kamala Harris is a beacon of hope for many voters.,Kamala Harris,Democratic Party,95,360,positive,2024-11-20,08:50:10,50
86,87,@econDebate,Trump's approach to trade is leading to new international agreements.,Donald Trump,Republican Party,100,440,neutral,2024-11-20,09:15:40,69
87,88,@greenEnergy,Jill Stein's solar energy plans could revolutionize power grids.,Jill Stein,Green Party,75,240,positive,2024-11-20,10:05:25,64
88,89,@neutralOpinion,"Robert Kennedy remains neutral on some key issues, causing uncertainty.",Robert Kennedy,Independent,18,85,neutral,2024-11-20,11:35:50,71
89,90,@libertyMovement,Chase Oliver is building a strong base among libertarian voters.,Chase Oliver,Libertarian Party,40,160,positive,2024-11-20,12:20:15,64
90,91,@user777,Kamala Harris's foreign policy plans are ambitious and detailed.,Kamala Harris,Democratic Party,85,325,positive,2024-11-21,08:45:30,64
91,92,@policyWatch,Trump's healthcare policies are sparking nationwide debates.,Donald Trump,Republican Party,110,460,negative,2024-11-21,09:30:05,60
92,93,@ecoFriendly,Jill Stein is advocating for zero-waste cities.,Jill Stein,Green Party,60,215,positive,2024-11-21,10:15:40,47
93,94,@indepThoughts,Robert Kennedy is focusing on bipartisan solutions.,Robert Kennedy,Independent,25,100,neutral,2024-11-21,11:25:30,51
94,95,@freedomFighter,Chase Oliver supports abolishing the IRS for more freedom.,Chase Oliver,Libertarian Party,35,140,positive,2024-11-21,12:35:55,58
95,96,@user888,Kamala Harris's initiatives on climate change are groundbreaking.,Kamala Harris,Democratic Party,90,340,positive,2024-11-22,08:20:50,65
96,97,@taxReform,Trump's latest tax reform favors large corporations.,Donald Trump,Republican Party,95,410,negative,2024-11-22,09:10:25,52
97,98,@sustainableFuture,Jill Stein's policies aim to make cities more sustainable.,Jill Stein,Green Party,70,225,positive,2024-11-22,10:45:10,58
98,99,@indieChoice,Robert Kennedy's independent stance attracts diverse voters.,Robert Kennedy,Independent,30,115,neutral,2024-11-22,11:50:35,60
99,100,@libertyValues,Chase Oliver's commitment to liberty resonates with many.,Chase Oliver,Libertarian Party,50,175,positive  ,2024-11-22,12:30:20,57
100,101,@user999,Kamala Harris is championing affordable education for all.,Kamala Harris,Democratic Party,85,350,positive,2024-11-23,08:30:10,58
101,102,@policyGuru,Trump's immigration policies are sparking national conversations.,Donald Trump,Republican Party,95,420,neutral,2024-11-23,09:15:45,65
102,103,@greenAdvocate2,Jill Stein's commitment to renewable energy is inspiring.,Jill Stein,Green Party,70,230,positive,2024-11-23,10:05:30,57
103,104,@indieVoice2,Robert Kennedy is bringing fresh ideas to the independent race.,Robert Kennedy,Independent,30,110,neutral,2024-11-23,11:25:20,63
104,105,@libertyFan,Chase Oliver's policies on tax reduction are gaining traction.,Chase Oliver,Libertarian Party,50,180,positive,2024-11-23,12:40:55,62
105,106,@user1000,Kamala Harris is working tirelessly on climate legislation.,Kamala Harris,Democratic Party,90,360,positive,2024-11-24,08:45:00,59
106,107,@econExpert,Trump's economic strategies are a double-edged sword.,Donald Trump,Republican Party,100,440,neutral,2024-11-24,09:20:35,53
107,108,@ecoWarrior2,Jill Stein's plan for sustainable cities is ahead of its time.,Jill Stein,Green Party,75,240,positive,2024-11-24,10:15:25,62
108,109,@neutralMind,Robert Kennedy remains a wildcard in this election.,Robert Kennedy,Independent,25,100,neutral,2024-11-24,11:50:10,51
109,110,@freedomFirst2,Chase Oliver advocates for complete government deregulation.,Chase Oliver,Libertarian Party,45,160,positive,2024-11-24,12:55:35,60
110,111,@user1001,Kamala Harris is bridging gaps in healthcare access.,Kamala Harris,Democratic Party,80,310,positive,2024-11-25,08:30:20,52
111,112,@taxTalk2,Trump's latest tax plan favors the upper class.,Donald Trump,Republican Party,90,420,negative,2024-11-25,09:10:55,47
112,113,@sustainability2,Jill Stein is pushing for electric public transportation.,Jill Stein,Green Party,65,205,positive,2024-11-25,10:25:15,57
113,114,@indepThought3,Robert Kennedy's independent run is shaking things up.,Robert Kennedy,Independent,22,95,neutral,2024-11-25,11:35:00,54
114,115,@libertySeek2,Chase Oliver's focus on personal freedom is resonating with voters.,Chase Oliver,Libertarian Party,40,150,positive,2024-11-25,12:45:30,67
115,116,@user1002,Kamala Harris is making significant progress in infrastructure development.,Kamala Harris,Democratic Party,85,325,positive,2024-11-26,08:55:10,75
116,117,@businessInsider2,Trump's deregulation policies are controversial among experts.,Donald Trump,Republican Party,100,450,neutral,2024-11-26,09:20:45,62
117,118,@greenFuture2,Jill Stein's focus on green technology is commendable.,Jill Stein,Green Party,60,210,positive,2024-11-26,10:40:30,54
118,119,@watchingNow2,Robert Kennedy's policies appeal to a broad spectrum of voters.,Robert Kennedy,Independent,28,105,neutral,2024-11-26,11:50:20,63
119,120,@freeMarket2,Chase Oliver supports free-market solutions for education reform.,Chase Oliver,Libertarian Party,50,170,positive,2024-11-26,12:30:50,65
120,121,@user1003,Kamala Harris is dedicated to reducing student loan debt.,Kamala Harris,Democratic Party,85,330,positive,2024-11-27,08:40:15,57
121,122,@policyMaker2,Trump's stance on trade tariffs is affecting international relations.,Donald Trump,Republican Party,105,470,negative,2024-11-27,09:30:50,69
122,123,@ecoSupport2,Jill Stein's initiatives for green jobs are creating opportunities.,Jill Stein,Green Party,60,210,positive,2024-11-27,10:10:40,67
123,124,@neutralThoughts2,Robert Kennedy's platform lacks clarity on key issues.,Robert Kennedy,Independent,20,90,neutral,2024-11-27,11:25:50,54
124,125,@freedomVoice2,Chase Oliver emphasizes the importance of individual liberties.,Chase Oliver,Libertarian Party,35,130,positive,2024-11-27,12:15:25,63
125,126,@user1004,Kamala Harris continues to advocate for affordable housing solutions.,Kamala Harris,Democratic Party,75,290,positive,2024-11-28,08:35:30,69
126,127,@marketWatch2,Trump's economic policies are under scrutiny from various sectors.,Donald Trump,Republican Party,115,480,neutral,2024-11-28,09:05:55,66
127,128,@greenInitiative2,Jill Stein is leading the charge on climate change legislation.,Jill Stein,Green Party,70,230,positive,2024-11-28,10:20:45,63
128,129,@indieSupport2,Robert Kennedy offers a unique perspective outside the mainstream parties.,Robert Kennedy,Independent,28,105,neutral,2024-11-28,11:40:35,74
129,130,@libertyRights2,Chase Oliver advocates for the protection of gun rights.,Chase Oliver,Libertarian Party,50,170,positive,2024-11-28,12:50:20,56
130,131,@user1005,Kamala Harris is addressing wage gaps in her latest policy proposal.,Kamala Harris,Democratic Party,80,310,positive,2024-11-29,08:25:55,68
131,132,@taxPolicy2,Trump's tax cuts are criticized for benefiting the wealthy.,Donald Trump,Republican Party,90,420,negative,2024-11-29,09:40:30,59
132,133,@sustainableLiving2,Jill Stein promotes the adoption of electric vehicles to combat pollution.,Jill Stein,Green Party,65,205,positive,2024-11-29,10:30:50,74
133,134,@independantView2,Robert Kennedy's policies blend elements from both major parties.,Robert Kennedy,Independent,22,95,neutral,2024-11-29,11:55:15,65
134,135,@freedomAdvocate2,Chase Oliver's economic plans focus on reducing government intervention.,Chase Oliver,Libertarian Party,45,150,positive,2024-11-29,12:40:35,72
135,136,@user1006,Kamala Harris is a beacon of hope for progressive voters.,Kamala Harris,Democratic Party,95,360,positive,2024-11-30,08:50:25,57
136,137,@econDebate2,Trump's trade policies are reshaping global markets.,Donald Trump,Republican Party,100,440,neutral,2024-11-30,09:15:50,52
137,138,@greenEnergy2,Jill Stein's solar energy initiatives could transform the power industry.,Jill Stein,Green Party,75,240,positive,2024-11-30,10:05:40,73
138,139,@neutralOpinion2,Robert Kennedy remains non-committal on several key issues.,Robert Kennedy,Independent,18,85,neutral,2024-11-30,11:35:25,59
139,140,@libertyMovement2,Chase Oliver is gaining support among young libertarians.,Chase Oliver,Libertarian Party,40,160,positive,2024-11-30,12:20:35,57
140,141,@user1007,Kamala Harris's foreign policy is gaining international attention.,Kamala Harris,Democratic Party,85,325,positive,2024-12-01,08:45:40,66
141,142,@policyWatch2,Trump's healthcare policies are facing backlash from multiple fronts.,Donald Trump,Republican Party,110,460,negative,2024-12-01,09:30:15,69
142,143,@ecoFriendly2,Jill Stein is pushing for zero-waste initiatives in urban areas.,Jill Stein,Green Party,60,215,positive,2024-12-01,10:15:55,64
143,144,@indepThoughts2,Robert Kennedy is emphasizing bipartisan cooperation in his campaign.,Robert Kennedy,Independent,25,100,neutral,2024-12-01,11:25:45,69
144,145,@freedomFighter2,Chase Oliver supports eliminating the IRS to increase personal freedoms.,Chase Oliver,Libertarian Party,35,140,positive,2024-12-01,12:35:25,72
145,146,@user1008,Kamala Harris's climate initiatives are setting new standards.,Kamala Harris,Democratic Party,90,340,positive,2024-12-02,08:20:55,62
146,147,@taxReform2,Trump's latest tax reforms are criticized for favoring large businesses.,Donald Trump,Republican Party,95,410,negative,2024-12-02,09:10:50,72
147,148,@sustainableFuture2,Jill Stein aims to make cities more eco-friendly with her new policies.,Jill Stein,Green Party,70,225,positive,2024-12-02,10:45:25,71
148,149,@indieChoice2,Robert Kennedy's independent run is attracting a diverse voter base.,Robert Kennedy,Independent,30,115,neutral,2024-12-02,11:50:40,68
149,150,@libertyValues2,Chase Oliver's dedication to liberty is winning him loyal supporters.,Chase Oliver,Libertarian Party,50,175,positive,2024-12-02,12:30:35,69
150,151,@ecoChampion2,Jill Stein's new recycling initiative is receiving widespread praise.,Jill Stein,Green Party,65,220,positive,2024-12-03,08:30:10,69
151,152,@policyPro2,Kamala Harris is rolling out new education reforms aimed at inclusivity.,Kamala Harris,Democratic Party,80,310,positive,2024-12-03,09:15:50,72
152,153,@marketMover2,Trump's trade agreements are boosting certain American industries.,Donald Trump,Republican Party,90,400,positive,2024-12-03,10:05:35,66
153,154,@indieInsight2,Robert Kennedy is working to unite various voter factions.,Robert Kennedy,Independent,28,105,neutral,2024-12-03,11:45:25,58
