,tweet_id,user_handle,tweet_text,candidate,party,retweets,likes,sentiment,date,time,tweet_length
154,155,@libertyVoice2,Chase Oliver's advocacy for free speech is gaining momentum.,Chase Oliver,Libertarian Party,50,170,positive,2024-12-03,12:50:50,60
155,156,@user1009,Kamala Harris's healthcare policies are making significant impacts.,Kamala Harris,Democratic Party,85,330,positive,2024-12-04,08:25:20,67
156,157,@taxWise2,Trump's tax reforms are encouraging business investments.,Donald Trump,Republican Party,95,420,positive,2024-12-04,09:40:55,57
157,158,@greenVision2,Jill Stein envisions a sustainable future with green technologies.,Jill Stein,Green Party,70,230,positive,2024-12-04,10:30:40,66
158,159,@neutralPulse2,Robert Kennedy maintains a balanced stance on controversial issues.,Robert Kennedy,Independent,22,95,neutral,2024-12-04,11:55:15,67
159,160,@freedomAdvocacy2,Chase Oliver is a strong advocate for individual rights and freedoms.,Chase Oliver,Libertarian Party,45,150,positive,2024-12-04,12:40:45,69
160,161,@user1010,Kamala Harris is a symbol of progressive leadership.,Kamala Harris,Democratic Party,95,360,positive,2024-12-05,08:50:30,52
161,162,@econTalk2,Trump's economic strategies are showing mixed results.,Donald Trump,Republican Party,100,440,neutral,2024-12-05,09:15:55,54
162,163,@greenFutureNow2,Jill Stein's solar projects are leading the way in renewable energy.,Jill Stein,Green Party,75,240,positive,2024-12-05,10:05:30,68
163,164,@indiePerspective2,Robert Kennedy offers pragmatic solutions outside the party lines.,Robert Kennedy,Independent,18,85,neutral,2024-12-05,11:35:25,66
164,165,@libertyMovement3,Chase Oliver is expanding his base among libertarian voters.,Chase Oliver,Libertarian Party,40,160,positive,2024-12-05,12:20:45,60
165,166,@user1011,Kamala Harris's foreign policy is earning international acclaim.,Kamala Harris,Democratic Party,85,325,positive,2024-12-06,08:45:35,64
166,167,@policyDebate2,Trump's healthcare policies continue to divide public opinion.,Donald Trump,Republican Party,110,460,negative,2024-12-06,09:30:20,62
167,168,@ecoFriendlyLiving2,Jill Stein is pushing for zero-waste initiatives in all major cities.,Jill Stein,Green Party,60,215,positive,2024-12-06,10:15:50,69
168,169,@indepThoughts3,Robert Kennedy is committed to bipartisan solutions.,Robert Kennedy,Independent,25,100,neutral,2024-12-06,11:25:40,52
169,170,@freedomFighter3,Chase Oliver advocates for eliminating unnecessary government agencies.,Chase Oliver,Libertarian Party,35,140,positive,2024-12-06,12:35:30,71
170,171,@user1012,Kamala Harris's climate initiatives are setting new benchmarks.,Kamala Harris,Democratic Party,90,340,positive,2024-12-07,08:20:55,63
171,172,@taxReform3,Trump's latest tax reforms are under heavy criticism.,Donald Trump,Republican Party,95,410,negative,2024-12-07,09:10:40,53
172,173,@sustainableFuture3,Jill Stein's policies aim to create sustainable urban environments.,Jill Stein,Green Party,70,225,positive,2024-12-07,10:45:35,67
173,174,@indieChoice3,Robert Kennedy's independent stance is attracting a wide range of voters.,Robert Kennedy,Independent,30,115,neutral,2024-12-07,11:50:50,73
174,175,@libertyValues3,Chase Oliver's dedication to liberty is winning hearts.,Chase Oliver,Libertarian Party,50,175,positive,2024-12-07,12:30:40,55
175,176,@ecoSupporter2,Jill Stein's latest environmental initiative is making waves.,Jill Stein,Green Party,65,220,positive,2024-12-08,08:35:25,61
176,177,@policyWatcher2,Kamala Harris is leading comprehensive education reforms.,Kamala Harris,Democratic Party,80,310,positive,2024-12-08,09:05:40,57
177,178,@marketLeader2,Trump's trade policies are boosting American manufacturing.,Donald Trump,Republican Party,90,400,positive,2024-12-08,10:20:35,59
178,179,@indieVision2,Robert Kennedy brings innovative ideas to the forefront.,Robert Kennedy,Independent,28,105,neutral,2024-12-08,11:40:45,56
179,180,@libertyAdvocate2,Chase Oliver's free market policies are gaining support.,Chase Oliver,Libertarian Party,50,170,positive,2024-12-08,12:50:25,56
180,181,@user1013,Kamala Harris is addressing systemic inequality in her new policies.,Kamala Harris,Democratic Party,80,310,positive,2024-12-09,08:25:50,68
181,182,@taxPolicyUpdate2,Trump's tax cuts are seen as favoring the wealthy.,Donald Trump,Republican Party,90,420,negative,2024-12-09,09:40:35,50
182,183,@sustainableLiving3,Jill Stein promotes the use of electric vehicles to lower emissions.,Jill Stein,Green Party,65,205,positive,2024-12-09,10:30:50,68
183,184,@independantView3,Robert Kennedy's policies blend diverse ideological perspectives.,Robert Kennedy,Independent,22,95,neutral,2024-12-09,11:55:20,65
184,185,@freedomAdvocate3,Chase Oliver's economic plans focus on maximizing individual choice.,Chase Oliver,Libertarian Party,45,150,positive,2024-12-09,12:40:50,68
185,186,@user1014,Kamala Harris continues to inspire with her leadership.,Kamala Harris,Democratic Party,95,360,positive,2024-12-10,08:50:40,55
186,187,@econDebate3,Trump's trade approach is creating new international dynamics.,Donald Trump,Republican Party,100,440,neutral,2024-12-10,09:15:30,62
187,188,@greenEnergy3,Jill Stein's solar energy plans are set to revolutionize the sector.,Jill Stein,Green Party,75,240,positive,2024-12-10,10:05:50,68
188,189,@neutralOpinion3,Robert Kennedy remains neutral on several contentious issues.,Robert Kennedy,Independent,18,85,neutral,2024-12-10,11:35:35,61
189,190,@libertyMovement4,Chase Oliver is strengthening his support among libertarians.,Chase Oliver,Libertarian Party,40,160,positive,2024-12-10,12:20:45,61
190,191,@user1015,Kamala Harris's foreign policy initiatives are gaining global recognition.,Kamala Harris,Democratic Party,85,325,positive,2024-12-11,08:45:55,74
191,192,@policyWatch3,Trump's healthcare policies continue to divide the nation.,Donald Trump,Republican Party,110,460,negative,2024-12-11,09:30:25,58
192,193,@ecoFriendly3,Jill Stein is advocating for zero-waste cities nationwide.,Jill Stein,Green Party,60,215,positive,2024-12-11,10:15:35,58
193,194,@indepThoughts4,Robert Kennedy is emphasizing the need for bipartisan cooperation.,Robert Kennedy,Independent,25,100,neutral,2024-12-11,11:25:50,66
194,195,@freedomFighter4,Chase Oliver supports eliminating the IRS to enhance personal freedoms.,Chase Oliver,Libertarian Party,35,140,positive,2024-12-11,12:35:40,71
195,196,@user1016,Kamala Harris's climate change initiatives are setting new goals.,Kamala Harris,Democratic Party,90,340,positive,2024-12-12,08:20:35,65
196,197,@taxReform4,Trump's latest tax reforms are criticized for corporate favoritism.,Donald Trump,Republican Party,95,410,negative,2024-12-12,09:10:50,67
197,198,@sustainableFuture4,Jill Stein's policies aim to make urban areas more sustainable.,Jill Stein,Green Party,70,225,positive,2024-12-12,10:45:40,63
198,199,@indieChoice4,Robert Kennedy's independent stance is attracting a diverse electorate.,Robert Kennedy,Independent,30,115,neutral,2024-12-12,11:50:55,71
199,200,@libertyValues4,Chase Oliver's commitment to liberty is resonating with many voters.,Chase Oliver,Libertarian Party,50,175,positive,2024-12-12,12:30:45,68
200,201,@user1017,Kamala Harris is pushing for comprehensive healthcare reforms.,Kamala Harris,Democratic Party,85,325,positive,2024-12-13,08:30:10,62
201,202,@policyGuru2,Trump's immigration stance is causing widespread debates.,Donald Trump,Republican Party,95,420,neutral,2024-12-13,09:15:45,57
202,203,@greenAdvocate3,Jill Stein's renewable energy initiatives are gaining traction.,Jill Stein,Green Party,70,230,positive,2024-12-13,10:05:30,63
203,204,@indieVoice3,Robert Kennedy is introducing innovative policies as an independent.,Robert Kennedy,Independent,30,110,neutral,2024-12-13,11:25:20,68
204,205,@libertyFan2,Chase Oliver's tax reduction policies are attracting support.,Chase Oliver,Libertarian Party,50,180,positive,2024-12-13,12:40:55,61
205,206,@user1018,Kamala Harris advocates for mental health awareness.,Kamala Harris,Democratic Party,90,360,positive,2024-12-14,08:45:00,52
206,207,@econExpert2,Trump's economic strategies are a topic of heated discussions.,Donald Trump,Republican Party,100,440,neutral,2024-12-14,09:20:35,62
207,208,@ecoWarrior3,Jill Stein's sustainable city plans are setting new standards.,Jill Stein,Green Party,75,240,positive,2024-12-14,10:15:25,62
208,209,@neutralMind2,Robert Kennedy remains a pivotal figure in the independent race.,Robert Kennedy,Independent,25,100,neutral,2024-12-14,11:50:10,64
209,210,@freedomFirst3,Chase Oliver promotes deregulation for economic growth.,Chase Oliver,Libertarian Party,45,160,positive,2024-12-14,12:55:35,55
210,211,@user1019,Kamala Harris is leading efforts to improve public transportation.,Kamala Harris,Democratic Party,85,330,positive,2024-12-15,08:30:20,66
211,212,@taxTalk3,Trump's tax plan is under scrutiny for its long-term effects.,Donald Trump,Republican Party,90,420,negative,2024-12-15,09:10:55,61
212,213,@sustainability3,Jill Stein pushes for electric public transportation to reduce emissions.,Jill Stein,Green Party,65,205,positive,2024-12-15,10:25:15,73
213,214,@indepThought4,Robert Kennedy's independent campaign is gaining momentum.,Robert Kennedy,Independent,22,95,neutral,2024-12-15,11:35:00,58
214,215,@libertySeek3,Chase Oliver emphasizes the importance of personal freedoms in his policies.,Chase Oliver,Libertarian Party,40,150,positive,2024-12-15,12:45:30,76
215,216,@user1020,Kamala Harris is making strides in infrastructure development.,Kamala Harris,Democratic Party,85,325,positive,2024-12-16,08:55:10,62
216,217,@businessInsider3,Trump's deregulation efforts are sparking debates among experts.,Donald Trump,Republican Party,100,450,neutral,2024-12-16,09:20:45,64
217,218,@greenFuture3,Jill Stein's focus on green technology is commendable.,Jill Stein,Green Party,60,210,positive,2024-12-16,10:40:30,54
218,219,@watchingNow3,Robert Kennedy appeals to a broad range of voters with his policies.,Robert Kennedy,Independent,28,105,neutral,2024-12-16,11:50:20,68
219,220,@freeMarket3,Chase Oliver supports free-market solutions for education reform.,Chase Oliver,Libertarian Party,50,170,positive,2024-12-16,12:30:50,65
220,221,@user1021,Kamala Harris is dedicated to reducing student loan debt.,Kamala Harris,Democratic Party,85,330,positive,2024-12-17,08:40:15,57
221,222,@policyMaker3,Trump's stance on trade tariffs is affecting international relations.,Donald Trump,Republican Party,105,470,negative,2024-12-17,09:30:50,69
222,223,@ecoSupport3,Jill Stein's initiatives for green jobs are creating new opportunities.,Jill Stein,Green Party,60,210,positive,2024-12-17,10:10:40,71
223,224,@neutralThoughts3,Robert Kennedy's platform lacks clarity on several key issues.,Robert Kennedy,Independent,20,90,neutral,2024-12-17,11:25:50,62
224,225,@freedomVoice3,Chase Oliver emphasizes the importance of individual liberties in his campaign.,Chase Oliver,Libertarian Party,35,130,positive,2024-12-17,12:15:25,79
225,226,@user1022,Kamala Harris continues to advocate for affordable housing solutions.,Kamala Harris,Democratic Party,75,290,positive,2024-12-18,08:35:30,69
226,227,@marketWatch3,Trump's economic policies are under scrutiny from various sectors.,Donald Trump,Republican Party,115,480,neutral,2024-12-18,09:05:55,66
227,228,@greenInitiative3,Jill Stein is leading the charge on climate change legislation.,Jill Stein,Green Party,70,230,positive,2024-12-18,10:20:45,63
228,229,@indieSupport3,Robert Kennedy offers a unique perspective outside the mainstream parties.,Robert Kennedy,Independent,28,105,neutral,2024-12-18,11:40:35,74
229,230,@libertyRights3,Chase Oliver advocates for the protection of gun rights.,Chase Oliver,Libertarian Party,50,170,positive,2024-12-18,12:50:20,56
230,231,@user1023,Kamala Harris is addressing wage gaps in her latest policy proposal.,Kamala Harris,Democratic Party,80,310,positive,2024-12-19,08:25:55,68
231,232,@taxPolicy3,Trump's tax cuts are criticized for benefiting the wealthy.,Donald Trump,Republican Party,90,420,negative,2024-12-19,09:40:30,59
232,233,@sustainableLiving4,Jill Stein promotes the adoption of electric vehicles to combat pollution.,Jill Stein,Green Party,65,205,positive,2024-12-19,10:30:50,74
233,234,@independantView4,Robert Kennedy's policies blend elements from both major parties.,Robert Kennedy,Independent,22,95,neutral,2024-12-19,11:55:15,65
234,235,@freedomAdvocate4,Chase Oliver's economic plans focus on reducing government intervention.,Chase Oliver,Libertarian Party,45,150,positive,2024-12-19,12:40:35,72
235,236,@user1024,Kamala Harris is a beacon of hope for progressive voters.,Kamala Harris,Democratic Party,95,360,positive,2024-12-20,08:50:25,57
236,237,@econDebate4,Trump's trade policies are reshaping global markets.,Donald Trump,Republican Party,100,440,neutral,2024-12-20,09:15:50,52
237,238,@greenEnergy4,Jill Stein's solar energy initiatives could transform the power industry.,Jill Stein,Green Party,75,240,positive,2024-12-20,10:05:40,73
238,239,@neutralOpinion4,Robert Kennedy remains non-committal on several key issues.,Robert Kennedy,Independent,18,85,neutral,2024-12-20,11:35:25,59
239,240,@libertyMovement5,Chase Oliver is gaining support among young libertarians.,Chase Oliver,Libertarian Party,40,160,positive,2024-12-20,12:20:35,57
240,241,@user1025,Kamala Harris's foreign policy is gaining international attention.,Kamala Harris,Democratic Party,85,325,positive,2024-12-21,08:45:40,66
241,242,@policyWatch4,Trump's healthcare policies are facing backlash from multiple fronts.,Donald Trump,Republican Party,110,460,negative,2024-12-21,09:30:15,69
242,243,@ecoFriendly3,Jill Stein is pushing for zero-waste initiatives in urban areas.,Jill Stein,Green Party,60,215,positive,2024-12-21,10:15:55,64
243,244,@indepThoughts5,Robert Kennedy is emphasizing bipartisan cooperation in his campaign.,Robert Kennedy,Independent,25,100,neutral,2024-12-21,11:25:45,69
244,245,@freedomFighter5,Chase Oliver supports eliminating the IRS to enhance personal freedoms.,Chase Oliver,Libertarian Party,35,140,positive,2024-12-21,12:35:25,71
245,246,@user1026,Kamala Harris's climate initiatives are setting new benchmarks.,Kamala Harris,Democratic Party,90,340,positive,2024-12-22,08:20:55,63
246,247,@taxReform5,Trump's latest tax reforms are criticized for corporate favoritism.,Donald Trump,Republican Party,95,410,negative,2024-12-22,09:10:50,67
247,248,@sustainableFuture5,Jill Stein's policies aim to make urban areas more sustainable.,Jill Stein,Green Party,70,225,positive,2024-12-22,10:45:40,63
248,249,@indieChoice5,Robert Kennedy's independent stance is attracting a diverse electorate.,Robert Kennedy,Independent,30,115,neutral,2024-12-22,11:50:55,71
249,250,@libertyValues5,Chase Oliver's commitment to liberty is resonating with many voters.,Chase Oliver,Libertarian Party,50,175,positive,2024-12-22,12:30:45,68
250,251,@ecoChampion3,Jill Stein's new recycling initiative is receiving widespread praise.,Jill Stein,Green Party,65,220,positive,2024-12-23,08:30:10,69
251,252,@policyPro3,Kamala Harris is rolling out new education reforms aimed at inclusivity.,Kamala Harris,Democratic Party,80,310,positive,2024-12-23,09:15:50,72
252,253,@marketMover3,Trump's trade agreements are boosting certain American industries.,Donald Trump,Republican Party,90,400,positive,2024-12-23,10:05:35,66
253,254,@indieInsight3,Robert Kennedy is working to unite various voter factions.,Robert Kennedy,Independent,28,105,neutral,2024-12-23,11:45:25,58
254,255,@libertyVoice4,Chase Oliver's advocacy for free speech is gaining momentum.,Chase Oliver,Libertarian Party,50,170,positive,2024-12-23,12:50:50,60
255,256,@user1027,Kamala Harris's healthcare policies are making significant impacts.,Kamala Harris,Democratic Party,85,330,positive,2024-12-24,08:25:20,67
256,257,@taxWise3,Trump's tax reforms are encouraging business investments.,Donald Trump,Republican Party,95,420,positive,2024-12-24,09:40:55,57
257,258,@greenVision3,Jill Stein envisions a sustainable future with green technologies.,Jill Stein,Green Party,70,230,positive,2024-12-24,10:30:40,66
258,259,@neutralPulse3,Robert Kennedy maintains a balanced stance on controversial issues.,Robert Kennedy,Independent,22,95,neutral,2024-12-24,11:55:15,67
259,260,@freedomAdvocacy3,Chase Oliver is a strong advocate for individual rights and freedoms.,Chase Oliver,Libertarian Party,45,150,positive,2024-12-24,12:40:45,69
260,261,@user1028,Kamala Harris is a symbol of progressive leadership.,Kamala Harris,Democratic Party,95,360,positive,2024-12-25,08:50:30,52
261,262,@econTalk3,Trump's economic strategies are showing mixed results.,Donald Trump,Republican Party,100,440,neutral,2024-12-25,09:15:55,54
262,263,@greenFutureNow3,Jill Stein's solar projects are leading the way in renewable energy.,Jill Stein,Green Party,75,240,positive,2024-12-25,10:05:30,68
263,264,@indiePerspective3,Robert Kennedy offers pragmatic solutions outside the party lines.,Robert Kennedy,Independent,18,85,neutral,2024-12-25,11:35:25,66
264,265,@libertyMovement6,Chase Oliver is expanding his base among libertarian voters.,Chase Oliver,Libertarian Party,40,160,positive,2024-12-25,12:20:45,60
265,266,@user1029,Kamala Harris's foreign policy is earning international acclaim.,Kamala Harris,Democratic Party,85,325,positive,2024-12-26,08:45:35,64
266,267,@policyDebate5,Trump's healthcare policies continue to divide public opinion.,Donald Trump,Republican Party,110,460,negative,2024-12-26,09:30:20,62
267,268,@ecoFriendlyLiving3,Jill Stein is pushing for zero-waste initiatives in all major cities.,Jill Stein,Green Party,60,215,positive,2024-12-26,10:15:50,69
268,269,@indepThoughts6,Robert Kennedy is committed to bipartisan solutions.,Robert Kennedy,Independent,25,100,neutral,2024-12-26,11:25:40,52
269,270,@freedomFighter6,Chase Oliver advocates for eliminating unnecessary government agencies.,Chase Oliver,Libertarian Party,35,140,positive,2024-12-26,12:35:30,71
270,271,@user1030,Kamala Harris's climate initiatives are setting new goals.,Kamala Harris,Democratic Party,90,340,positive,2024-12-27,08:20:55,58
271,272,@taxReform6,Trump's latest tax reforms are under heavy criticism.,Donald Trump,Republican Party,95,410,negative,2024-12-27,09:10:40,53
272,273,@sustainableFuture6,Jill Stein's policies aim to create sustainable urban environments.,Jill Stein,Green Party,70,225,positive,2024-12-27,10:45:35,67
273,274,@indieChoice6,Robert Kennedy's independent stance is attracting a wide range of voters.,Robert Kennedy,Independent,30,115,neutral,2024-12-27,11:50:50,73
274,275,@libertyValues6,Chase Oliver's dedication to liberty is winning hearts.,Chase Oliver,Libertarian Party,50,175,positive,2024-12-27,12:30:40,55
275,276,@ecoSupporter3,Jill Stein's latest environmental initiative is making waves.,Jill Stein,Green Party,65,220,positive,2024-12-28,08:35:25,61
276,277,@policyWatcher3,Kamala Harris is leading comprehensive education reforms.,Kamala Harris,Democratic Party,80,310,positive,2024-12-28,09:05:40,57
277,278,@marketLeader3,Trump's trade policies are boosting American manufacturing.,Donald Trump,Republican Party,90,400,positive,2024-12-28,10:20:35,59
278,279,@indieVision3,Robert Kennedy brings innovative ideas to the forefront.,Robert Kennedy,Independent,28,105,neutral,2024-12-28,11:40:45,56
279,280,@libertyAdvocate3,Chase Oliver's free market policies are gaining support.,Chase Oliver,Libertarian Party,50,170,positive,2024-12-28,12:50:25,56
280,281,@user1031,Kamala Harris is addressing systemic inequality in her new policies.,Kamala Harris,Democratic Party,80,310,positive,2024-12-29,08:25:50,68
281,282,@taxPolicyUpdate3,Trump's tax cuts are seen as favoring the wealthy.,Donald Trump,Republican Party,90,420,negative,2024-12-29,09:40:35,50
282,283,@sustainableLiving5,Jill Stein promotes the use of electric vehicles to lower emissions.,Jill Stein,Green Party,65,205,positive,2024-12-29,10:30:50,68
283,284,@independantView5,Robert Kennedy's policies blend diverse ideological perspectives.,Robert Kennedy,Independent,22,95,neutral,2024-12-29,11:55:20,65
284,285,@freedomAdvocate5,Chase Oliver's economic plans focus on maximizing individual choice.,Chase Oliver,Libertarian Party,45,150,positive,2024-12-29,12:40:50,68
285,286,@user1032,Kamala Harris continues to inspire with her leadership.,Kamala Harris,Democratic Party,95,360,positive,2024-12-30,08:50:40,55
286,287,@econDebate5,Trump's trade approach is creating new international dynamics.,Donald Trump,Republican Party,100,440,neutral,2024-12-30,09:15:30,62
287,288,@greenEnergy5,Jill Stein's solar energy plans are set to revolutionize the sector.,Jill Stein,Green Party,75,240,positive,2024-12-30,10:05:50,68
288,289,@neutralOpinion5,Robert Kennedy remains neutral on several contentious issues.,Robert Kennedy,Independent,18,85,neutral,2024-12-30,11:35:35,61
289,290,@libertyMovement7,Chase Oliver is strengthening his support among libertarians.,Chase Oliver,Libertarian Party,40,160,positive,2024-12-30,12:20:45,61
290,291,@user1033,Kamala Harris's foreign policy initiatives are gaining global recognition.,Kamala Harris,Democratic Party,85,325,positive,2024-12-31,08:45:55,74
291,292,@policyWatch5,Trump's healthcare policies continue to divide the nation.,Donald Trump,Republican Party,110,460,negative,2024-12-31,09:30:25,58
292,293,@ecoFriendly4,Jill Stein is advocating for zero-waste cities nationwide.,Jill Stein,Green Party,60,215,positive,2024-12-31,10:15:35,58
293,294,@indepThoughts7,Robert Kennedy is emphasizing the need for bipartisan cooperation.,Robert Kennedy,Independent,25,100,neutral,2024-12-31,11:25:50,66
294,295,@freedomFighter7,Chase Oliver supports eliminating the IRS to enhance personal freedoms.,Chase Oliver,Libertarian Party,35,140,positive,2024-12-31,12:35:40,71
295,296,@user1034,Kamala Harris's climate change initiatives are setting new goals.,Kamala Harris,Democratic Party,90,340,positive,2024-01-01,08:20:35,65
296,297,@taxReform7,Trump's latest tax reforms are criticized for corporate favoritism.,Donald Trump,Republican Party,95,410,negative,2024-01-01,09:10:50,67
297,298,@sustainableFuture7,Jill Stein's policies aim to make urban areas more sustainable.,Jill Stein,Green Party,70,225,positive,2024-01-01,10:45:40,63
298,299,@indieChoice7,Robert Kennedy's independent stance is attracting a diverse electorate.,Robert Kennedy,Independent,30,115,neutral,2024-01-01,11:50:55,71
299,300,@libertyValues7,Chase Oliver's commitment to liberty is resonating with many voters.,Chase Oliver,Libertarian Party,50,175,positive,2024-01-01,12:30:45,68
300,301,@user1035,Kamala Harris is addressing systemic inequality in her new policies.,Kamala Harris,Democratic Party,80,310,positive,2024-01-02,08:25:50,68
301,302,@taxPolicyUpdate4,Trump's tax cuts are seen as favoring the wealthy.,Donald Trump,Republican Party,90,420,negative,2024-01-02,09:40:35,50
302,303,@sustainableLiving6,Jill Stein promotes the use of electric vehicles to lower emissions.,Jill Stein,Green Party,65,205,positive,2024-01-02,10:30:50,68
